item_idx,item_id,title,description,text,language,difficulty,theme,software,job,type,duration,thumbnail_path
100,15139,Home Page in Detail,"Discover in detail the SharePoint home page in the video 'Home Page in Detail'. This page groups the different spaces you have access to, as well as news and information about sites you follow and visit frequently. You will learn how to use the search area to find sites, files, and people within your organization. Additionally, you will discover how to follow and unfollow sites, as well as suggested sites based on your recent searches. Don't miss this video to master the SharePoint home page and optimize your use of Microsoft 365.","Home Page in Detail
Discover in detail the SharePoint home page in the video 'Home Page in Detail'. This page groups the different spaces you have access to, as well as news and information about sites you follow and visit frequently. You will learn how to use the search area to find sites, files, and people within your organization. Additionally, you will discover how to follow and unfollow sites, as well as suggested sites based on your recent searches. Don't miss this video to master the SharePoint home page and optimize your use of Microsoft 365.",en,1 - Beginner,Discover,SharePoint,,tutorial,199.0,https://i.ibb.co/1Y2qFpXS/item-15139.jpg
101,15140,Site Presentation,"Discover the general presentation of Office.com in the video ""Site Presentation"".
This resource will help you understand how to use Microsoft 365 for your professional work.
You will learn how to log in to your portal, access various online applications, search for documents and information, customize your workspace, and manage your profile.
This video will give you a comprehensive overview of the features on the Office.com homepage, allowing you to optimize your use of Microsoft 365.","Site Presentation
Discover the general presentation of Office.com in the video ""Site Presentation"".
This resource will help you understand how to use Microsoft 365 for your professional work.
You will learn how to log in to your portal, access various online applications, search for documents and information, customize your workspace, and manage your profile.
This video will give you a comprehensive overview of the features on the Office.com homepage, allowing you to optimize your use of Microsoft 365.",en,1 - Beginner,Discover,SharePoint,,tutorial,259.0,https://i.ibb.co/sdRmtWyq/item-15140.jpg
102,15141,Search function in SharePoint,"Discover how to use the intelligent search function in SharePoint to quickly find sites, files, and people within your organization.
This video titled ""Search function in SharePoint"" shows you how to use the search box, choose from suggestions, view results, and filter by content type.
Learn to optimize your search to find the information you need.
Whether you are a professional using Microsoft 365 or simply interested in SharePoint, this video will help you master this essential feature.","Search function in SharePoint
Discover how to use the intelligent search function in SharePoint to quickly find sites, files, and people within your organization.
This video titled ""Search function in SharePoint"" shows you how to use the search box, choose from suggestions, view results, and filter by content type.
Learn to optimize your search to find the information you need.
Whether you are a professional using Microsoft 365 or simply interested in SharePoint, this video will help you master this essential feature.",en,1 - Beginner,Search,SharePoint,,tutorial,94.0,https://i.ibb.co/KzKgPBKS/item-15141.jpg
103,15142,Connecting with Other Office 365 Tools,"Discover how to connect and collaborate effectively with other Office 365 tools in the video ""Connecting with Other Office 365 Tools"".
You will learn how to create an Office 365 group from Outlook, allowing you to share an inbox, calendar, document library, notebook, and task planner.
Additionally, each group has a full SharePoint site to manage group files and access associated Office 365 apps.
This integration streamlines teamwork and makes collaboration more intuitive.
Watch the video to learn how to make the most of Office 365 tools and boost your professional productivity.","Connecting with Other Office 365 Tools
Discover how to connect and collaborate effectively with other Office 365 tools in the video ""Connecting with Other Office 365 Tools"".
You will learn how to create an Office 365 group from Outlook, allowing you to share an inbox, calendar, document library, notebook, and task planner.
Additionally, each group has a full SharePoint site to manage group files and access associated Office 365 apps.
This integration streamlines teamwork and makes collaboration more intuitive.
Watch the video to learn how to make the most of Office 365 tools and boost your professional productivity.",en,1 - Beginner,Produce,SharePoint,,tutorial,158.0,https://i.ibb.co/kVWW1VPJ/item-15142.jpg
104,15143,Document Library Overview,"Discover how to use document libraries in Microsoft 365 to optimize your professional work.
In the video ""Document Library Overview"", you will learn how to store, create, update, and collaborate on files securely.
You will also learn how to access your files from any device and edit them online.
Learn to use library features such as creating documents and folders, importing items, syncing to your computer, and setting alerts for changes.
Explore the various actions available to manage your files, such as opening, sharing, and downloading.
Customize your view and filter items for better organization.
Don't miss this essential video to get the most out of document libraries in Microsoft 365.","Document Library Overview
Discover how to use document libraries in Microsoft 365 to optimize your professional work.
In the video ""Document Library Overview"", you will learn how to store, create, update, and collaborate on files securely.
You will also learn how to access your files from any device and edit them online.
Learn to use library features such as creating documents and folders, importing items, syncing to your computer, and setting alerts for changes.
Explore the various actions available to manage your files, such as opening, sharing, and downloading.
Customize your view and filter items for better organization.
Don't miss this essential video to get the most out of document libraries in Microsoft 365.",en,1 - Beginner,Discover,SharePoint,,tutorial,186.0,https://i.ibb.co/hxbWRYh8/item-15143.jpg
105,15144,Add items to libraries,"Discover how to easily add items to your document libraries in the video ""Add items to libraries"".
You will learn different methods to upload files or entire folders, including drag-and-drop from your Windows Explorer.
Additionally, you will discover how to create new documents directly from the library and organize your storage space by creating folders.
Don't miss this video to optimize your professional use of Microsoft 365 and improve your productivity.","Add items to libraries
Discover how to easily add items to your document libraries in the video ""Add items to libraries"".
You will learn different methods to upload files or entire folders, including drag-and-drop from your Windows Explorer.
Additionally, you will discover how to create new documents directly from the library and organize your storage space by creating folders.
Don't miss this video to optimize your professional use of Microsoft 365 and improve your productivity.",en,1 - Beginner,Produce,SharePoint,,tutorial,143.0,https://i.ibb.co/JFmFkFrw/item-15144.jpg
106,15145,Editing Elements,"Discover how to optimize your formatting of professional documents in the Microsoft 365 solution with the video 'Format Your Documents Quickly'. Learn to automate formatting, use custom themes and predefined styles to save time. You will also discover how to collaborate effectively with others on the same document using the Office 365 portal. Stop wasting time on formatting and use version history and change tracking options to facilitate approval by your manager. With these tips, you will gain efficiency and professionalism in your documents.","Editing Elements
Discover how to optimize your formatting of professional documents in the Microsoft 365 solution with the video 'Format Your Documents Quickly'. Learn to automate formatting, use custom themes and predefined styles to save time. You will also discover how to collaborate effectively with others on the same document using the Office 365 portal. Stop wasting time on formatting and use version history and change tracking options to facilitate approval by your manager. With these tips, you will gain efficiency and professionalism in your documents.",en,"1 - Beginner, 2 - Intermediate",Produce,SharePoint,,tutorial,165.0,https://i.ibb.co/Hp2yXCVK/item-15145.jpg
107,15146,Move and Copy,"Discover how to move and copy content in SharePoint for better organization of your professional documents in Microsoft 365. In the video ""Move and Copy"", you will learn how to use move and copy commands to move items between different libraries, create copies in other folders, and even copy content to other sites.
You will also discover how to create new folders and choose specific locations for effective file organization.
Watch the video to master these essential techniques and optimize your collaborative work in SharePoint.","Move and Copy
Discover how to move and copy content in SharePoint for better organization of your professional documents in Microsoft 365. In the video ""Move and Copy"", you will learn how to use move and copy commands to move items between different libraries, create copies in other folders, and even copy content to other sites.
You will also discover how to create new folders and choose specific locations for effective file organization.
Watch the video to master these essential techniques and optimize your collaborative work in SharePoint.",en,"1 - Beginner, 2 - Intermediate",Produce,SharePoint,,tutorial,136.0,https://i.ibb.co/qYY10ZRR/item-15146.jpg
108,15147,Share a document,"Discover how to share documents for co‑creation in the Microsoft 365 solution. In this video titled ""Share documents for co‑creation"", you will learn how to collaborate in real time with your colleagues on a document.
You will see how to save the document to OneDrive or SharePoint, choose the people you want to share the document with, and allow or disallow editing.
You will also discover how to obtain a sharing link to send the document by e‑mail.
Watch this video to learn how to share documents effectively and collaborate smoothly in Microsoft 365.","Share a document
Discover how to share documents for co‑creation in the Microsoft 365 solution. In this video titled ""Share documents for co‑creation"", you will learn how to collaborate in real time with your colleagues on a document.
You will see how to save the document to OneDrive or SharePoint, choose the people you want to share the document with, and allow or disallow editing.
You will also discover how to obtain a sharing link to send the document by e‑mail.
Watch this video to learn how to share documents effectively and collaborate smoothly in Microsoft 365.",en,"1 - Beginner, 2 - Intermediate",Share,SharePoint,,tutorial,156.0,https://i.ibb.co/rCy2qxp/item-15147.jpg
109,15148,Receiving a sharing request,"Discover how to receive and manage sharing requests in the Microsoft 365 solution with the video ""Receiving a sharing request"".
You will learn how to open shared documents directly in your browser, edit them online or in Word, and download a copy for offline viewing.
This video is essential for professionals using Microsoft 365, and will allow you to maximize your productivity and collaboration.","Receiving a sharing request
Discover how to receive and manage sharing requests in the Microsoft 365 solution with the video ""Receiving a sharing request"".
You will learn how to open shared documents directly in your browser, edit them online or in Word, and download a copy for offline viewing.
This video is essential for professionals using Microsoft 365, and will allow you to maximize your productivity and collaboration.",en,"1 - Beginner, 2 - Intermediate",Share,SharePoint,,tutorial,93.0,https://i.ibb.co/TDRYKKn5/item-15148.jpg
110,15149,Manage document versions,"Discover how to effectively manage document versions in Microsoft 365. This video titled ""Manage document versions"" explains how your SharePoint library automatically retains versions of your documents, allowing you to track the history of changes and restore previous versions if needed.
Learn how to view and restore previous versions, as well as the option to delete all versions. This feature is essential for professional use in the Microsoft 365 solution. Watch the video to learn more about document version management and optimize your productivity.","Manage document versions
Discover how to effectively manage document versions in Microsoft 365. This video titled ""Manage document versions"" explains how your SharePoint library automatically retains versions of your documents, allowing you to track the history of changes and restore previous versions if needed.
Learn how to view and restore previous versions, as well as the option to delete all versions. This feature is essential for professional use in the Microsoft 365 solution. Watch the video to learn more about document version management and optimize your productivity.",en,2 - Intermediate,Produce,SharePoint,,tutorial,142.0,https://i.ibb.co/6SHsP52/item-15149.jpg
111,15150,Make a Document Read-Only,"Learn how to make a document read-only in Microsoft 365. In the video ""Restrict a Document to Read-Only"", you will learn how to modify permissions to limit access and editing of the document by other users.
Whether you use Microsoft Teams, OneDrive, or SharePoint, you will discover how to open the document in the web browser, access information settings, and restrict permissions.
This feature is essential for professional use and ensures the security of your documents.
Watch the video to learn how to keep your documents confidential and protected.","Make a Document Read-Only
Learn how to make a document read-only in Microsoft 365. In the video ""Restrict a Document to Read-Only"", you will learn how to modify permissions to limit access and editing of the document by other users.
Whether you use Microsoft Teams, OneDrive, or SharePoint, you will discover how to open the document in the web browser, access information settings, and restrict permissions.
This feature is essential for professional use and ensures the security of your documents.
Watch the video to learn how to keep your documents confidential and protected.",en,2 - Intermediate,Produce,SharePoint,,tutorial,146.0,https://i.ibb.co/60szzBbb/item-15150.jpg
112,15151,Synchronize a library on your computer,"Discover how to easily sync a site library with your computer in the video ""Synchronize a library on your computer"".
This feature allows you to locally copy library files so you can use them directly in your Windows file system.
You will learn how to set up sync, where to find the synced files on your computer, and how all changes are automatically updated.
This video is essential for professionals using Microsoft 365, and will help you save time and easily access your files wherever you are.","Synchronize a library on your computer
Discover how to easily sync a site library with your computer in the video ""Synchronize a library on your computer"".
This feature allows you to locally copy library files so you can use them directly in your Windows file system.
You will learn how to set up sync, where to find the synced files on your computer, and how all changes are automatically updated.
This video is essential for professionals using Microsoft 365, and will help you save time and easily access your files wherever you are.",en,2 - Intermediate,Organize,SharePoint,,tutorial,92.0,https://i.ibb.co/v4g0K2TR/item-15151.jpg
113,15152,Use files in a synchronized library,"Discover how to effectively use files in a synchronized library with OneDrive for Business in the video ""Use files in a synchronized library"".
You will learn how to sync your library with your computer, access files directly from the Windows File Explorer, and work online with your files.
You will also discover how to share files, manage synchronization, and troubleshoot any issues.
This video is essential for professionals using the Microsoft 365 solution and will help you optimize your productivity.","Use files in a synchronized library
Discover how to effectively use files in a synchronized library with OneDrive for Business in the video ""Use files in a synchronized library"".
You will learn how to sync your library with your computer, access files directly from the Windows File Explorer, and work online with your files.
You will also discover how to share files, manage synchronization, and troubleshoot any issues.
This video is essential for professionals using the Microsoft 365 solution and will help you optimize your productivity.",en,"2 - Intermediate, 3 - Advanced",Produce,SharePoint,,tutorial,112.0,https://i.ibb.co/pSpnxn0/item-15152.jpg
114,15153,Lists Overview,"Discover how Microsoft Lists can help you better organize and manage your team's information in the video ""Lists Overview"".
This application allows you to create custom lists to track events, staff, and much more.
With its integration with Microsoft Teams, you can keep your team informed and easily track everyone's work.
Lists are accessible from any device, allowing you to stay productive wherever you are.
Watch the video to learn more about Microsoft Lists features and how they can simplify your professional workflow in Microsoft 365.","Lists Overview
Discover how Microsoft Lists can help you better organize and manage your team's information in the video ""Lists Overview"".
This application allows you to create custom lists to track events, staff, and much more.
With its integration with Microsoft Teams, you can keep your team informed and easily track everyone's work.
Lists are accessible from any device, allowing you to stay productive wherever you are.
Watch the video to learn more about Microsoft Lists features and how they can simplify your professional workflow in Microsoft 365.",en,1 - Beginner,Discover,SharePoint,,tutorial,109.0,https://i.ibb.co/TBjR57wv/item-15153.jpg
115,15154,Add items to a list,"Discover how to easily add items to a list in the Microsoft 365 solution with the video ""Add items to a list"".
Whether you want to add contacts, tasks, or other information, this video will guide you through the simple steps to add items to an existing list.
Learn how to use the creation form, enter the required information, and save the items.
You will also discover a quick method to add multiple items in quick edit mode.
Don’t miss this video that will help you optimize your professional use of Microsoft 365 by easily adding items to your lists.","Add items to a list
Discover how to easily add items to a list in the Microsoft 365 solution with the video ""Add items to a list"".
Whether you want to add contacts, tasks, or other information, this video will guide you through the simple steps to add items to an existing list.
Learn how to use the creation form, enter the required information, and save the items.
You will also discover a quick method to add multiple items in quick edit mode.
Don’t miss this video that will help you optimize your professional use of Microsoft 365 by easily adding items to your lists.",en,2 - Intermediate,Produce,SharePoint,,tutorial,93.0,https://i.ibb.co/YFYckbvN/item-15154.jpg
116,15155,Editing List Items,"Discover how to efficiently edit list items in Microsoft Lists.
This video will guide you through the Microsoft Lists interface, showing you how to create, modify, and delete items similarly to Excel.
You will also learn how to share your list with others, export data to Excel, automate flows with Power Automate, and build apps with Power Apps.
By using filtering, sorting, and grouping tools, you can organize your list items practically.
Watch this video to master editing list items in Microsoft Lists and boost your professional productivity in Microsoft 365.","Editing List Items
Discover how to efficiently edit list items in Microsoft Lists.
This video will guide you through the Microsoft Lists interface, showing you how to create, modify, and delete items similarly to Excel.
You will also learn how to share your list with others, export data to Excel, automate flows with Power Automate, and build apps with Power Apps.
By using filtering, sorting, and grouping tools, you can organize your list items practically.
Watch this video to master editing list items in Microsoft Lists and boost your professional productivity in Microsoft 365.",en,2 - Intermediate,Produce,SharePoint,,tutorial,110.0,https://i.ibb.co/2Y8Zxr6q/item-15155.jpg
117,15156,Share list items,"Learn how to effectively share list items in Microsoft 365 in the video ""Share list items"". You will learn how to share specific items with others or restrict access to certain list items. You will see how to share a selected item by clicking the ""Share"" button and entering the name or address of the people you want to share with. You can also get a link to the item to insert into an email. Learn how to manage permissions and stop sharing if needed. This video is essential for those who use Microsoft 365 professionally and want to optimize their productivity.","Share list items
Learn how to effectively share list items in Microsoft 365 in the video ""Share list items"". You will learn how to share specific items with others or restrict access to certain list items. You will see how to share a selected item by clicking the ""Share"" button and entering the name or address of the people you want to share with. You can also get a link to the item to insert into an email. Learn how to manage permissions and stop sharing if needed. This video is essential for those who use Microsoft 365 professionally and want to optimize their productivity.",en,2 - Intermediate,Share,SharePoint,,tutorial,130.0,https://i.ibb.co/21kqWPhT/item-15156.jpg
118,15157,Add a column to a list or library,"Discover how to easily add a column to a list or library in Microsoft 365. In this video, you will learn how to check existing columns, create a new column by choosing among different types, and customize column options. Adding columns will allow you to track and organize information more effectively. Don't miss this opportunity to improve your use of Microsoft 365 and optimize your professional productivity.","Add a column to a list or library
Discover how to easily add a column to a list or library in Microsoft 365. In this video, you will learn how to check existing columns, create a new column by choosing among different types, and customize column options. Adding columns will allow you to track and organize information more effectively. Don't miss this opportunity to improve your use of Microsoft 365 and optimize your professional productivity.",en,"2 - Intermediate, 3 - Advanced",Produce,SharePoint,,tutorial,171.0,https://i.ibb.co/cXQ9xs9T/item-15157.jpg
119,15158,Sort and filter items,"Discover how to efficiently sort and filter items in Microsoft 365 with the video ""Sort and filter items"". Whether you’re using a list or a document library, you’ll learn how to quickly find what you’re looking for and display information consistently. You’ll learn how to sort items alphabetically or by other criteria, and how to filter the list based on your needs. Additionally, you’ll learn how to save your sorting and filtering settings for future use. Watch the video to discover all the tips and boost your efficiency in managing your items in Microsoft 365.","Sort and filter items
Discover how to efficiently sort and filter items in Microsoft 365 with the video ""Sort and filter items"". Whether you’re using a list or a document library, you’ll learn how to quickly find what you’re looking for and display information consistently. You’ll learn how to sort items alphabetically or by other criteria, and how to filter the list based on your needs. Additionally, you’ll learn how to save your sorting and filtering settings for future use. Watch the video to discover all the tips and boost your efficiency in managing your items in Microsoft 365.",en,"2 - Intermediate, 3 - Advanced",Search,SharePoint,,tutorial,125.0,https://i.ibb.co/P075Hb6/item-15158.jpg
120,15159,Create and Manage Views,"Discover how to create and manage views efficiently in Microsoft 365 with the video ""Create and Manage Views"".
Whether you want to quickly organize your items or delete those you don't use frequently, this video will show you how to create custom views.
You will learn how to filter data, add or remove columns, and save your views for easy access.
With these tips, you can organize your information efficiently and save time in your daily work.","Create and Manage Views
Discover how to create and manage views efficiently in Microsoft 365 with the video ""Create and Manage Views"".
Whether you want to quickly organize your items or delete those you don't use frequently, this video will show you how to create custom views.
You will learn how to filter data, add or remove columns, and save your views for easy access.
With these tips, you can organize your information efficiently and save time in your daily work.",en,3 - Advanced,Customize,SharePoint,,tutorial,160.0,https://i.ibb.co/9k5TbZTy/item-15159.jpg
121,15160,Set Alerts,"Discover how to set professional alerts in Microsoft 365 using the video ""Enter Your Work Hours"". Learn how to enter your work hours and set a reminder time for your sign‑out. You will see how to use the work week menu to enter your business days and associated hours. Additionally, you will discover how to schedule a reminder in Microsoft Teams to start your virtual commute a few minutes before the end of your day. This ritual will help you better separate your professional life from your personal life, especially if you work from home. Watch the video for practical tips and optimize your productivity in Microsoft 365.","Set Alerts
Discover how to set professional alerts in Microsoft 365 using the video ""Enter Your Work Hours"". Learn how to enter your work hours and set a reminder time for your sign‑out. You will see how to use the work week menu to enter your business days and associated hours. Additionally, you will discover how to schedule a reminder in Microsoft Teams to start your virtual commute a few minutes before the end of your day. This ritual will help you better separate your professional life from your personal life, especially if you work from home. Watch the video for practical tips and optimize your productivity in Microsoft 365.",en,3 - Advanced,Organize,SharePoint,,tutorial,132.0,https://i.ibb.co/JRV5cV94/item-15160.jpg
122,15161,Create Flows: Start with a Model,"Discover how to create automated workflows in Microsoft 365 using the video ""Create Flows: Start with a Model"". This feature allows you to transform repetitive tasks into automated ones through Power Automate. Learn how to create a personalized flow that sends an automatic message every time a new document is added to SharePoint. This video is essential for professionals using Microsoft 365 and will show you how to synchronize files, get notifications, and collect data automatically. Don't miss this opportunity to optimize your productivity with Power Automate.","Create Flows: Start with a Model
Discover how to create automated workflows in Microsoft 365 using the video ""Create Flows: Start with a Model"". This feature allows you to transform repetitive tasks into automated ones through Power Automate. Learn how to create a personalized flow that sends an automatic message every time a new document is added to SharePoint. This video is essential for professionals using Microsoft 365 and will show you how to synchronize files, get notifications, and collect data automatically. Don't miss this opportunity to optimize your productivity with Power Automate.",en,3 - Advanced,Organize,SharePoint,,tutorial,77.0,https://i.ibb.co/Jw09YJH1/item-15161.jpg
123,15162,Create Flows: Starting from Zero,"Discover how to create personalized flows in Microsoft 365. In the video ""Create Flows: Starting from Zero"", you will learn to automate tasks such as receiving an email notification whenever someone responds to a survey.
Follow the steps to create a new flow, choose an action, like sending an email, and personalize details such as the email address, subject, and content of the message.
Learn to activate, modify, and deactivate your automated flows for efficient management.
This video is essential for professionals using Microsoft 365 and offers valuable tips for optimizing productivity.","Create Flows: Starting from Zero
Discover how to create personalized flows in Microsoft 365. In the video ""Create Flows: Starting from Zero"", you will learn to automate tasks such as receiving an email notification whenever someone responds to a survey.
Follow the steps to create a new flow, choose an action, like sending an email, and personalize details such as the email address, subject, and content of the message.
Learn to activate, modify, and deactivate your automated flows for efficient management.
This video is essential for professionals using Microsoft 365 and offers valuable tips for optimizing productivity.",en,3 - Advanced,Organize,SharePoint,,tutorial,104.0,https://i.ibb.co/0RKwR42m/item-15162.jpg
124,15163,Create Your App with PowerApps,"Discover how to build a professional app with PowerApps in the Microsoft 365 solution. In this video, you'll learn how to create an app from an employee list designed with Microsoft Lists.
You'll be able to view, edit, delete, and add new employees directly from your app.
Learn the simple steps to create a customized app and streamline your work within your organization.
Watch the video now to learn how to create your app with PowerApps and boost your productivity.","Create Your App with PowerApps
Discover how to build a professional app with PowerApps in the Microsoft 365 solution. In this video, you'll learn how to create an app from an employee list designed with Microsoft Lists.
You'll be able to view, edit, delete, and add new employees directly from your app.
Learn the simple steps to create a customized app and streamline your work within your organization.
Watch the video now to learn how to create your app with PowerApps and boost your productivity.",en,3 - Advanced,Produce,SharePoint,,tutorial,114.0,https://i.ibb.co/nszCGFnW/item-15163.jpg
125,152339,Managing a SharePoint Site Collection,"Discover how to effectively manage a SharePoint site collection in the video ""Gestion d'une collection de sites SharePoint"".
This 45-minute session will help you understand the architecture of a SharePoint site collection, the role of the site manager, and the various contents you can find in a SharePoint site.
You will learn the key concepts of managing a SharePoint site collection and the role of the site manager.
Don't miss this opportunity to deepen your knowledge of SharePoint and improve your professional productivity in the Microsoft 365 solution.","Managing a SharePoint Site Collection
Discover how to effectively manage a SharePoint site collection in the video ""Gestion d'une collection de sites SharePoint"".
This 45-minute session will help you understand the architecture of a SharePoint site collection, the role of the site manager, and the various contents you can find in a SharePoint site.
You will learn the key concepts of managing a SharePoint site collection and the role of the site manager.
Don't miss this opportunity to deepen your knowledge of SharePoint and improve your professional productivity in the Microsoft 365 solution.",en,,,,,webcast,2694.0,https://i.ibb.co/nsXRRnfw/item-152339.jpg
126,155172,Getting Started with Outlook on Mobile,"Learn how to get started with Outlook on mobile in this video. Sign in, navigate, customize, and create a personalized email signature. Ideal for Microsoft 365 professionals. Boost productivity with Outlook on mobile.","Getting Started with Outlook on Mobile
Learn how to get started with Outlook on mobile in this video. Sign in, navigate, customize, and create a personalized email signature. Ideal for Microsoft 365 professionals. Boost productivity with Outlook on mobile.",en,1 - Beginner,"Communicate, Discover, Mobility",Outlook,,tutorial,121.0,https://i.ibb.co/GfwsQTbn/item-155172.jpg
127,155173,Use Outlook Mobile Daily,"Discover how to use Outlook Mobile daily in this video.
Learn to write and send emails, attach files, manage your inbox, organize emails into folders, filter messages, and manage contacts.
Use these features to optimize your professional productivity with Outlook Mobile in Microsoft 365. Watch the video to learn more and improve your Outlook Mobile usage.","Use Outlook Mobile Daily
Discover how to use Outlook Mobile daily in this video.
Learn to write and send emails, attach files, manage your inbox, organize emails into folders, filter messages, and manage contacts.
Use these features to optimize your professional productivity with Outlook Mobile in Microsoft 365. Watch the video to learn more and improve your Outlook Mobile usage.",en,2 - Intermediate,"Communicate, Mobility",Outlook,,tutorial,295.0,https://i.ibb.co/jvzqHDgt/item-155173.jpg
128,155174,Go further with Outlook Mobile,"Discover how to get the most out of Outlook Mobile in the video ""Go further with Outlook Mobile"".
This resource is ideal for professionals using the Microsoft 365 solution. You will learn how to manage your calendar, create new appointments, and set up notifications so you never miss an important event.
Additionally, you will learn how to enable automatic out-of-office replies to inform your correspondents when you are unavailable.
Don't miss this opportunity to optimize your use of Outlook Mobile for increased productivity in your daily work.","Go further with Outlook Mobile
Discover how to get the most out of Outlook Mobile in the video ""Go further with Outlook Mobile"".
This resource is ideal for professionals using the Microsoft 365 solution. You will learn how to manage your calendar, create new appointments, and set up notifications so you never miss an important event.
Additionally, you will learn how to enable automatic out-of-office replies to inform your correspondents when you are unavailable.
Don't miss this opportunity to optimize your use of Outlook Mobile for increased productivity in your daily work.",en,3 - Advanced,"Communicate, Mobility",Outlook,,tutorial,154.0,https://i.ibb.co/twHjp2Z0/item-155174.jpg
129,156439,Microsoft PowerApps Training - Create Your App Without Code,"Discover how to create professional applications without code using Microsoft PowerApps in the training ""Microsoft PowerApps Training - Create Your App Without Code"".
This training will allow you to learn the app creation interface, create mobile modules and configure them.
You will also learn how to save, publish, and share your apps.
PowerApps gives you the ability to design custom business apps with a professional look, whether canvas apps, template-based or portals.
Thanks to saving via Microsoft OneDrive, you can run your creations in a browser or mobile device.
Don't miss this opportunity to create apps and sites tailored to your professional needs in a simple and cost-effective way.","Microsoft PowerApps Training - Create Your App Without Code
Discover how to create professional applications without code using Microsoft PowerApps in the training ""Microsoft PowerApps Training - Create Your App Without Code"".
This training will allow you to learn the app creation interface, create mobile modules and configure them.
You will also learn how to save, publish, and share your apps.
PowerApps gives you the ability to design custom business apps with a professional look, whether canvas apps, template-based or portals.
Thanks to saving via Microsoft OneDrive, you can run your creations in a browser or mobile device.
Don't miss this opportunity to create apps and sites tailored to your professional needs in a simple and cost-effective way.",en,,,,,webcast,,https://i.ibb.co/tPTdqB9C/item-156439.jpg
130,156440,Course Overview,"Discover the fundamentals of Office 365 administration in this course by Ludovic, a trainer and consultant on Microsoft collaborative tools.
You will learn how to create an Office 365 tenant exclusive to your organization, manage user accounts, and assign licenses.
Customize your platform and domain name, configure email and collaboration groups, and use reports to monitor application usage and availability.
This course is for everyone, from non-IT professionals to system administrators, and will enable you to be self-sufficient in daily Office 365 administration.
For more advanced training on Office 365, Exchange, or SharePoint site management, see Ludovic's other courses.
Be ready to harness the full potential of Office 365 right now!","Course Overview
Discover the fundamentals of Office 365 administration in this course by Ludovic, a trainer and consultant on Microsoft collaborative tools.
You will learn how to create an Office 365 tenant exclusive to your organization, manage user accounts, and assign licenses.
Customize your platform and domain name, configure email and collaboration groups, and use reports to monitor application usage and availability.
This course is for everyone, from non-IT professionals to system administrators, and will enable you to be self-sufficient in daily Office 365 administration.
For more advanced training on Office 365, Exchange, or SharePoint site management, see Ludovic's other courses.
Be ready to harness the full potential of Office 365 right now!",en,1 - Beginner,Administer,Administration 365,,tutorial,217.0,https://i.ibb.co/ks3w0PbB/item-156440.jpg
131,156441,Create an Office 365 tenant,"Learn how to create an Office 365 tenant in the video ""Create an Office 365 tenant"". This video guides you through the steps to set up your account, choose among business plans, configure your account, and access Office 365 services. Follow the instructions to create your tenant and enjoy the benefits of Microsoft's professional solution.","Create an Office 365 tenant
Learn how to create an Office 365 tenant in the video ""Create an Office 365 tenant"". This video guides you through the steps to set up your account, choose among business plans, configure your account, and access Office 365 services. Follow the instructions to create your tenant and enjoy the benefits of Microsoft's professional solution.",en,1 - Beginner,Administer,Administration 365,,tutorial,536.0,https://i.ibb.co/yBSRtm03/item-156441.jpg
132,156442,Administration Center Overview,"Discover the Microsoft 365 Administration Center in the video ""Administration Center Overview"".
This resource introduces you to the various available services, such as user management, billing, online training, and Office Pro Plus installation.
You will also learn how to customize your tenant, manage security and compliance, and use Azure Active Directory to manage your users and other services.
Explore this comprehensive administration center to optimize your use of Microsoft 365.","Administration Center Overview
Discover the Microsoft 365 Administration Center in the video ""Administration Center Overview"".
This resource introduces you to the various available services, such as user management, billing, online training, and Office Pro Plus installation.
You will also learn how to customize your tenant, manage security and compliance, and use Azure Active Directory to manage your users and other services.
Explore this comprehensive administration center to optimize your use of Microsoft 365.",en,1 - Beginner,Administer,Administration 365,,tutorial,198.0,https://i.ibb.co/xKy3sVKg/item-156442.jpg
133,156443,Start DNS Configuration,"Discover how to start DNS configuration for professional use in Microsoft 365 in the video ""Start DNS Configuration"". Learn the different options to connect your DNS domain, configure it in your admin center, and verify everything works correctly. Get guidance on how to enter your domain values with your host, depending on your provider. Watch the video for detailed instructions and ensure your domain is properly configured for professional use in Microsoft 365.","Start DNS Configuration
Discover how to start DNS configuration for professional use in Microsoft 365 in the video ""Start DNS Configuration"". Learn the different options to connect your DNS domain, configure it in your admin center, and verify everything works correctly. Get guidance on how to enter your domain values with your host, depending on your provider. Watch the video for detailed instructions and ensure your domain is properly configured for professional use in Microsoft 365.",en,2 - Intermediate,Administer,Administration 365,,tutorial,75.0,https://i.ibb.co/JwTZYwFb/item-156443.jpg
134,156444,DNS Records,"Discover how to configure DNS records in Microsoft 365 to optimize your professional use.
DNS records enable the server to handle mail requests and point to the correct web servers.
They are essential for authentication, messaging, spam prevention, and using the Skype Entreprise application.
Learn how to set up these key records to avoid blacklisting and ensure optimal connectivity.
Wait a few minutes after changes for replication across all internet networks.
Follow our guide for effective DNS configuration in Microsoft 365.","DNS Records
Discover how to configure DNS records in Microsoft 365 to optimize your professional use.
DNS records enable the server to handle mail requests and point to the correct web servers.
They are essential for authentication, messaging, spam prevention, and using the Skype Entreprise application.
Learn how to set up these key records to avoid blacklisting and ensure optimal connectivity.
Wait a few minutes after changes for replication across all internet networks.
Follow our guide for effective DNS configuration in Microsoft 365.",en,2 - Intermediate,Administer,Administration 365,,tutorial,161.0,https://i.ibb.co/WvxTz1nx/item-156444.jpg
